finding_id,plane_seq,epic,plane_id
P19-8,367,E14,a1437c1a-62af-4b13-a85d-62132dc21caa
P19-9,368,E8,cf714a86-c13c-4c2c-835b-a4352797f4e9
P20-1,380,E11,d01192e3-57da-4472-8181-f366c480049e
P20-10,389,E11,46884ba3-b323-4454-aa52-5ed2105a2152
P20-11,390,E11,15ab8b1a-4467-45f2-9b73-bb64ea2d1759
P20-12,391,E8,7e0f490c-3cff-4697-9f33-8e7ae6e5cfb6
P20-13,392,E11,d5e9a1da-401d-4e8e-9872-33fb38695cd6
P20-14,393,E10,eec92fd0-486d-4c5b-ae7a-912e4fdf3015
P20-15,394,E11,fdaa10e0-717f-467c-8829-96a191b49b4f
P20-16,395,E11,28d1a975-48e9-49dc-9258-562d255e7290
P20-17,396,E11,3150b145-8eee-4607-81fa-58591e628a6c
P20-18,397,E11,d6a4a2c2-8aad-4623-82f5-a373c063d1b3
P20-19,398,E11,57113311-b7ef-4a80-9f04-9034f4c89e50
P20-2,381,E11,1b1e2505-0abe-4195-9920-ab0b6746d259
P20-20,399,E10,0b3d3bca-ca08-430a-9436-22c2b0e3f22d
P20-3,382,E11,a2552ac8-186c-4638-b93f-7221274db07a
P20-4,383,E11,562c625c-4398-4da6-b4f1-2e7c3b2555c9
P20-5,384,E3,6c28884d-2923-42a6-b749-bcccab29779e
P20-6,385,E1,eaf048f4-28e1-4a0d-8a62-e7cf78d85f71
P20-7,386,E3,5329bcc4-d76c-4243-ae6c-238f430e6509
P20-8,387,E3,1f8db2df-f821-4700-9194-6130782cace6
P20-9,388,E11,946b6c6e-9650-4d2c-93ac-97b6654117bd
